,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
344,Volkswagen Polo Highline1.2L (P),521000,59819,Petrol,Mumbai,2015
345,Renault Kwid 1.0 RXT Opt,439000,8297,Petrol,Delhi,2019
346,Maruti Suzuki Dzire ZXi AMT,735000,32740,Petrol,Pune,2017
347,BMW 5 Series 520d Luxury,4599000,34500,Diesel,Ahmedabad,2020
348,Kia Sonet GTX Plus 1.5,1419000,25007,Diesel,Pune,2020
349,Maruti Suzuki Ignis Sigma 1.2,489000,38944,Petrol,Chennai,2019
350,Hyundai Grand i10 Magna 1.2,405000,72757,Petrol,Delhi,2016
351,Volkswagen Vento Trendline Petrol,350000,101740,Petrol,Hyderabad,2010
352,Maruti Suzuki Celerio ZXi AMT,599000,9130,Petrol,Pune,2019
353,Honda Jazz V AT Petrol,675000,48650,Petrol,Mumbai,2017
354,Hyundai Creta 1.6 SX Plus,1029000,40314,Petrol,Pune,2016
355,Volvo XC90 D5 AWD,2287000,30800,Diesel,Ahmedabad,2015
356,Maruti Suzuki Alto 800 Lxi,345000,33000,CNG,Noida,2019
357,Hyundai Elite i20 Sportz 1.2,790000,54000,Petrol,Hyderabad,2019
358,Honda City V,845000,22500,Petrol,Thane,2018
359,Toyota Glanza G CVT,849000,29866,Petrol,Bangalore,2020
360,Ford Aspire Titanium 1.2 Ti-VCT,535000,65000,Petrol,Noida,2017
361,Ford EcoSport Titanium 1.0 Ecoboost,475000,78822,Petrol,Faridabad,2014
362,Volkswagen Taigun GT Plus 1.5,1649000,9792,Petrol,Ahmedabad,2021
363,Hyundai Grand i10 Asta 1.2,569000,64774,Petrol,Bangalore,2016
364,Toyota Fortuner 2.8 4x2 MT,3375000,31283,Diesel,Bangalore,2018
365,Skoda Rapid Ambition 1.6 MPI,1082000,10713,Petrol,Delhi,2020
366,Maruti Suzuki Baleno Zeta 1.2,699000,13127,Petrol,Kolkata,2021
367,Maruti Suzuki Wagon R 1.0,425000,50000,Petrol,Thane,2016
368,Maruti Suzuki Alto 800 Lxi,325000,35340,Petrol,Pune,2018
369,Honda Jazz V AT Petrol,651000,27654,Petrol,Mumbai,2017
370,Hyundai Santro Sportz CNG [2018-2020],523000,40067,CNG,Pune,2018
371,Maruti Suzuki Baleno Delta 1.2,548000,50899,Petrol,Delhi,2018
372,Hyundai Grand i10 Magna 1.2,460000,52000,Petrol,Thane,2017
373,Honda City S Petrol,695000,51292,Petrol,Thane,2017
374,Hyundai Elite i20 Magna Executive,519000,19905,Petrol,Kolkata,2017
375,Tata Nano Twist XT,110000,18000,Petrol,Ahmedabad,2015
376,Maruti Suzuki Ertiga VXI CNG,1140000,28715,CNG,Thane,2021
377,Maruti Suzuki Ertiga Vxi CNG,721000,69161,CNG,Mumbai,2015
378,Maruti Suzuki S-Cross Zeta 1.3,887000,54571,Diesel,Pune,2017
379,Honda City VX CVT,775000,25000,Petrol,Thane,2016
380,Honda City VX,875000,24259,Petrol,Kolkata,2019
381,Maruti Suzuki Alto 800 Lxi,295000,30233,Petrol,Pune,2015
382,Mahindra Thar LX Hard Top,1750000,21000,Diesel,Delhi,2021
383,Maruti Suzuki Ertiga VXI CNG,825000,51000,CNG,Thane,2017
384,Hyundai Grand i10 Magna 1.2,450000,23137,Petrol,Thane,2016
385,Land Rover Discovery Sport HSE,2600000,159070,Diesel,Hyderabad,2015
386,Maruti Suzuki Dzire VDi AMT,645000,52328,Diesel,Noida,2018
387,Maruti Suzuki Baleno RS 1.0,666000,35849,Petrol,Pune,2017
388,Hyundai Venue SX 1.0 Petrol,1066000,24783,Petrol,Bangalore,2020
389,Maruti Suzuki Ciaz VXi,500000,27346,Petrol,Kolkata,2016
390,Hyundai i10 Magna 1.2 Kappa2,349000,75619,Petrol,Chennai,2014
391,Hyundai i10 Magna 1.2 Kappa2,245000,54000,Petrol,Kolkata,2013
392,Nissan Sunny XE,295000,58000,Petrol,Noida,2012
393,Jeep Wrangler Rubicon,6500000,27340,Petrol,Hyderabad,2021
394,Maruti Suzuki Swift VXi AMT,630000,17000,Petrol,Pallikarnai,2020
395,Volkswagen Vento Highline 1.5 (D),790000,111139,Diesel,Mumbai,2018
396,Hyundai Elantra 1.6 SX (O),1875000,40916,Diesel,Pune,2018
397,Honda WR-V VX MT Diesel,950000,120463,Diesel,Thiruvallur,2018
398,Honda BR-V VX Diesel,799000,94197,Diesel,Thane,2017
399,Maruti Suzuki Swift DZire VXI,424000,76859,Petrol,Pune,2014
400,Honda City S Petrol,725000,33000,Petrol,Ahmedabad,2017
401,Maruti Suzuki Baleno Delta 1.2,596000,17286,Petrol,Kolkata,2018
402,Mercedes-Benz GLA 220 d 4MATIC,2850000,40484,Diesel,Bangalore,2017
403,Tata Tiago Revotorq XZ Plus,540000,70450,Diesel,Ahmedabad,2020
404,Honda City V,840000,45074,Petrol,Kolkata,2019
405,Hyundai Elite i20 Asta 1.4,695000,101000,Diesel,Thane,2015
406,BMW 7 Series 760Li,5900000,22000,Petrol,Ahmedabad,2016
407,Hyundai i20 Sportz 1.2 BS-IV,345000,69000,Petrol,Mumbai,2012
408,Maruti Suzuki Dzire VXi AMT,696000,14895,Petrol,Pune,2018
409,Tata Tiago XZ Plus CNG,810000,11444,CNG,Delhi,2022
410,Tata Tiago Revotron XE [2016-2019],414000,32120,Petrol,Delhi,2018
411,Toyota Fortuner 2.8 4x4 AT,3300000,64300,Diesel,Ahmedabad,2019
412,Tata Harrier XZA Plus,2200000,30503,Diesel,Thane,2021
413,Honda City SV Petrol [2019-2020],825000,62042,Petrol,Ahmedabad,2019
414,Mahindra TUV300 T8,745000,122924,Diesel,Hyderabad,2017
415,Ford EcoSport Titanium 1.5L Ti-VCT,690000,37000,Petrol,Ahmedabad,2016
416,Skoda Kushaq Style 1.5L TSI,1925000,23402,Petrol,Bangalore,2021
417,Audi A4 35 TFSI Premium,1725000,35000,Petrol,Mumbai,2015
418,Hyundai Elite i20 Asta 1.2,639000,38657,Petrol,Pune,2017
419,Maruti Suzuki Wagon R 1.0,445000,64000,Petrol,Hyderabad,2016
420,Hyundai Grand i10 Magna 1.2,510000,35094,Petrol,Pune,2018
421,Toyota Glanza G,730000,18000,Petrol,Thiruvallur,2021
422,Nissan Magnite XE,670000,18503,Petrol,Pune,2021
423,Ford EcoSport Titanium 1.5 Ti-VCT,825000,30000,Petrol,Delhi,2018
424,Honda Jazz ZX CVT,842000,33197,Petrol,Chennai,2020
425,Land Rover Range Rover Velar,7700000,39800,Petrol,Thane,2019
426,Ford EcoSport Titanium + 1.5L,690000,83000,Diesel,Ahmedabad,2016
427,BMW 3 Series GT 320d,3600000,3600000,Diesel,Pune,2019
428,Maruti Suzuki Swift ZXi Plus,715000,24783,Petrol,Kolkata,2021
429,Maruti Suzuki Vitara Brezza VDi,815000,55000,Diesel,Thane,2017
430,Hyundai Santro Sportz [2018-2020],554000,11844,Petrol,Pune,2019
431,Jeep Compass Limited (O) 2.0,1695000,37430,Diesel,Hyderabad,2017
432,Mahindra XUV500 W8,879000,81682,Diesel,Bangalore,2013
433,Hyundai Xcent S 1.2,490000,32700,Petrol,Ahmedabad,2014
434,Honda WR-V VX MT Petrol,1019000,23795,Petrol,Chennai,2021
435,Maruti Suzuki Swift DZire ZXI,518000,37188,Petrol,Pune,2015
436,Maruti Suzuki Alto K10 VXi,379000,27044,Petrol,Bangalore,2017
437,Hyundai Elite i20 Sportz 1.4,660000,52451,Diesel,Hyderabad,2016
438,MG Hector Sharp 1.5 Petrol,1649000,35200,Petrol,Bangalore,2020
439,Hyundai Elite i20 Sportz 1.2,849000,30490,Petrol,Bangalore,2019
440,Maruti Suzuki Celerio ZXi AMT,500000,65000,Petrol,Thane,2019
441,Maruti Suzuki Alto 800 LXi,349000,36427,CNG,Mumbai,2017
442,Hyundai Santro Sportz,589000,47873,Petrol,Pune,2020
443,Mahindra XUV500 W10,865000,116000,Diesel,Noida,2015
444,Volkswagen Taigun Topline 1.0 TSI,1790000,11321,Petrol,Thane,2022
445,Hyundai Creta E Plus 1.6,930000,12000,Petrol,Thane,2018
446,Hyundai Grand i10 Sportz (O),695000,23671,Petrol,Bangalore,2018
447,Maruti Suzuki SX4 ZXi,160000,58000,Petrol,Kolkata,2009
448,Honda Amaze 1.2 V CVT,665000,38868,Petrol,Delhi,2018
449,Honda City VX CVT,795000,33613,Petrol,Mumbai,2016
450,Audi Q3 35 TDI Premium,2050000,90246,Diesel,Ahmedabad,2016
451,Hyundai Grand i10 Sports Edition,500000,58005,Petrol,Thane,2018
452,Toyota Yaris V MT,980000,44000,Petrol,Hyderabad,2018
453,Maruti Suzuki Swift VXi AMT,704000,28151,Petrol,Delhi,2019
454,Hyundai Creta 1.6 E Petrol,745000,59233,Petrol,Noida,2015
455,Hyundai Grand i10 Era 1.1,500000,34000,Diesel,Thiruvallur,2017
456,Maruti Suzuki Baleno Alpha 1.2,610000,47500,Petrol,Thane,2017
457,Honda City 1.5 V MT,325000,82000,Petrol,Thane,2010
458,Toyota Fortuner Legender 4X2 AT,4850000,28000,Diesel,Pune,2021
459,Toyota Etios Cross 1.2 G,435000,32545,Petrol,Kolkata,2015
460,Honda City V,653000,82852,Petrol,Delhi,2014
461,Ford EcoSport Titanium 1.5 TDCi,599000,56615,Diesel,Thane,2015
462,Kia Seltos GTX Plus AT,1490000,57600,Petrol,Chennai,2019
463,Hyundai Grand i10 Magna 1.1,620000,30704,Diesel,Hyderabad,2018
464,BMW X5 xDrive 30d,4790000,60000,Diesel,Pune,2017
465,Maruti Suzuki Baleno Delta 1.2,527000,14813,Petrol,Delhi,2016
466,Fiat Punto Active 1.3,350000,85451,Diesel,Hyderabad,2014
467,Renault Kwid CLIMBER 1.0 AMT,425000,39736,Petrol,Mumbai,2017
468,Mercedes-Benz C-Class C 220 CDI,2878000,31283,Diesel,Bangalore,2016
469,Honda City SV CVT,615000,69000,Petrol,Thane,2015
470,Maruti Suzuki XL6 Zeta AT,1290000,14222,Petrol,Ahmedabad,2022
471,Honda City 1.5 S MT,345000,63000,Petrol,Mumbai,2011
472,Volkswagen Polo Comfortline 1.2L (D),290000,57261,Diesel,Kolkata,2013
473,Skoda Rapid Ambition 1.6 MPI,1013000,14049,Petrol,Kolkata,2020
474,Hyundai Eon Era +,295000,75000,Petrol,Ahmedabad,2016
475,Maruti Suzuki S-Presso VXi Plus,476000,66,Petrol,Delhi,2021
476,Maruti Suzuki Dzire VDi,785000,91000,Diesel,Hyderabad,2018
477,Maruti Suzuki Ritz VXI BS-IV,235000,39900,Petrol,Thane,2011
478,Hyundai Creta SX (O) 1.5,1925000,9355,Petrol,Thane,2022
479,Maruti Suzuki Baleno Zeta 1.2,700000,55000,Petrol,Thiruvallur,2018
480,Volkswagen Taigun Highline 1.0 TSI,1749000,16777,Petrol,Bangalore,2021
481,Toyota Innova Crysta 2.8 GX,2449000,55627,Diesel,Bangalore,2018
482,Maruti Suzuki Ertiga ZXi,595000,67590,Petrol,Mumbai,2014
483,Nissan Micra Active XV,325000,16937,Petrol,Kolkata,2017
484,Honda City V,875000,36000,Petrol,Mumbai,2018
485,Honda Amaze 1.2 VX MT,857000,7702,Petrol,Pune,2022
486,Maruti Suzuki S-Presso VXi Plus,454000,50729,Petrol,Pune,2020
487,BMW 3 Series 330i Sport,2250000,63000,Petrol,Ahmedabad,2018
488,MINI Cooper Countryman Cooper D,1475000,46251,Diesel,Ahmedabad,2014
489,Hyundai Verna 1.4 VTVT,590000,67000,Petrol,Ahmedabad,2016
490,Mercedes-Benz CLA 200 CDI Sport,2500000,52295,Diesel,Hyderabad,2016
491,Maruti Suzuki Alto 800 Lxi,292000,52460,Petrol,Pune,2015
492,Hyundai i20 Asta 1.2,430000,41429,Petrol,Pune,2012
493,Jeep Compass Limited (O) 1.4,1825000,28449,Petrol,Mumbai,2019
494,Hyundai Santro Sportz [2018-2020],526000,57588,Petrol,Pune,2019
495,Mercedes-Benz CLA 200 CDI Sport,1649000,51500,Diesel,Kolkata,2015
496,Maruti Suzuki Wagon R 1.0,490000,53830,Petrol,Ahmedabad,2018
497,Toyota Innova 2.5 G4 8,425000,120000,Diesel,Thane,2009
498,Maruti Suzuki Alto 800 Lxi,310000,68000,Petrol,Hyderabad,2015
499,Maruti Suzuki Baleno Zeta,655000,22772,Petrol,Kolkata,2018
500,Hyundai Grand i10 Magna 1.2,465000,22407,Petrol,Mumbai,2017
501,Hyundai Elite i20 Sportz 1.2,630000,61546,Petrol,Pune,2018
502,Hyundai i20 Magna 1.2,310000,68000,Petrol,Noida,2012
503,Honda City SV CVT,690000,45000,Petrol,Ahmedabad,2015
504,MG Astor Sharp 1.5 CVT,1685000,4946,Petrol,Thane,2021
505,Maruti Suzuki Wagon R 1.0,464000,13889,Petrol,Pune,2017
506,Jeep Compass Limited 1.4 Petrol,1692000,23409,Petrol,Pune,2019
507,Toyota Fortuner 2.8 4x2 AT,3250000,82000,Diesel,Hyderabad,2017
508,Maruti Suzuki Celerio VXi,415000,40900,Petrol,Bangalore,2014
509,Mercedes-Benz A-Class A 200d,2295000,8368,Diesel,Bangalore,2017
510,Toyota Fortuner 3.0 4x2 AT,1649000,107281,Diesel,Bangalore,2012
511,Maruti Suzuki Swift VXi ABS,340000,51595,Petrol,Delhi,2013
512,Renault Kwid 1.0 RXT [2016-2019],460000,22541,Petrol,Bangalore,2018
513,Mercedes-Benz GLC 220 d Sport,4400000,46000,Diesel,Pune,2018
514,Maruti Suzuki Wagon R 1.0,359000,20728,Petrol,Kolkata,2016
515,Hyundai Grand i10 Magna 1.2,595000,44868,Petrol,Bangalore,2019
516,Hyundai Grand i10 Nios Sportz,733000,18631,Petrol,Pune,2019
517,Toyota Innova Crysta 2.8 GX,1890000,48969,Diesel,Thane,2018
518,Toyota Innova Crysta ZX 2.4,3350000,42000,Diesel,Hyderabad,2022
519,Maruti Suzuki Wagon R ZXi,649000,9011,Petrol,Bangalore,2021
520,Honda City VX CVT,950000,77116,Petrol,Hyderabad,2015
521,Honda City Anniversary Edition Diesel,820000,26500,Diesel,Ambattur,2018
522,Hyundai Creta SX Plus 1.6,1137000,22872,Petrol,Bangalore,2017
523,Volvo V40 D3 Kinetic,1600000,30000,Diesel,Ahmedabad,2016
524,Hyundai Elite i20  Asta,750000,33647,Petrol,Thane,2018
525,Maruti Suzuki Alto 800 Vxi,223000,27233,Petrol,Kolkata,2014
526,Hyundai Creta SX (O) 1.5,1725000,28374,Petrol,Thane,2021
527,Mahindra Scorpio S6 Plus 1.99,895000,80500,Diesel,Delhi,2017
528,Volkswagen Polo GT TSI,945000,41417,Petrol,Bangalore,2017
529,Maruti Suzuki Alto 800 Vxi,267000,23377,Petrol,Delhi,2015
530,Hyundai Elite i20 Asta 1.4,850000,75126,Diesel,Hyderabad,2018
531,Maruti Suzuki Ciaz Alpha Hybrid,949000,16700,Petrol,Ahmedabad,2020
532,Honda WR-V VX MT Petrol,699000,27429,Petrol,Kolkata,2019
533,Renault Kwid RXL [2015-2019],295000,40000,Petrol,Noida,2018
534,Ford Figo Duratorq Diesel Titanium,475000,50945,Diesel,Hyderabad,2015
535,Maruti Suzuki Swift VXi [2014-2017],650000,9500,Petrol,Thane,2019
536,Honda Civic 1.8V MT,235000,107551,Petrol,Mumbai,2009
537,Mahindra XUV700 AX 7 Diesel,2800000,2100,Diesel,Ahmedabad,2022
538,Maruti Suzuki Swift VXi,327000,40110,Petrol,Kolkata,2012
539,Honda Brio E MT,370000,60000,Petrol,Pallikarnai,2013
540,Honda CR-V 2.4 AT,1251000,74009,Petrol,Mumbai,2015
541,BMW 3 Series 330i M,4750000,13900,Petrol,Ahmedabad,2020
542,BMW X5 xDrive 30d,4800000,28000,Diesel,Ahmedabad,2017
543,Maruti Suzuki S-Presso VXi,450000,11537,Petrol,Ahmedabad,2020
544,Toyota Glanza V CVT,985000,15928,Petrol,Bangalore,2021
545,Mahindra Alturas G4 4WD AT,2145000,40180,Diesel,Kolkata,2019
546,Renault Duster 85 PS RxL,850000,22601,Diesel,Hyderabad,2018
547,BMW 3 Series GT 320d,2750000,99000,Diesel,Hyderabad,2016
548,Maruti Suzuki Ignis Alpha 1.2,712000,10658,Petrol,Pune,2020
549,Maruti Suzuki Celerio VXi (O),556000,75044,CNG,Pune,2020
550,Ford EcoSport Signature Edition Diesel,1020000,52000,Diesel,Thane,2019
551,Maruti Suzuki Ciaz Zeta 1.4,875000,43999,Petrol,Bangalore,2018
552,Honda Jazz VX Petrol,570000,92270,Petrol,Mumbai,2017
553,Maruti Suzuki Swift DZire VXI,370000,77000,Petrol,Thane,2012
554,Audi Q3 35 TDI Premium,1500000,148108,Diesel,Ahmedabad,2015
555,Maruti Suzuki Wagon R 1.0,407000,39876,Petrol,Pune,2016
556,Jaguar XF 2.2 Diesel Luxury,1950000,67534,Diesel,Ahmedabad,2014
557,Maruti Suzuki Alto 800 Lxi,330000,75430,CNG,Pune,2015
558,Maruti Suzuki Alto K10 VXi,420000,20000,Petrol,Thiruvallur,2022
559,Maruti Suzuki Vitara Brezza ZDi,1150000,32000,Diesel,Bangalore,2019
560,Hyundai Grand i10 Sportz 1.2,535000,29000,Petrol,Hyderabad,2016
561,Hyundai i20 Active 1.2 S,645000,60273,Petrol,Hyderabad,2016
562,Honda Amaze 1.2 S i-VTEC,450000,57000,Petrol,Thane,2015
563,Tata Nexon XZ Plus (O),1065000,3280,Petrol,Thane,2022
564,Audi Q7 Technology 55 TFSI,9300000,6500,Petrol,Pune,2022
565,Toyota Fortuner 2.8 4x2 AT,3250000,51000,Diesel,Mumbai,2018
566,Toyota Corolla Altis JS Petrol,645000,90293,Petrol,Mumbai,2015
567,Maruti Suzuki Swift DZire ZXI,395000,36000,Petrol,Thane,2013
568,Mercedes-Benz E-Class E250 CDI Avantgarde,2200000,39000,Diesel,Ahmedabad,2014
569,BMW 5 Series 520d Luxury,5195000,25234,Diesel,Hyderabad,2019
570,Hyundai i10 Magna 1.2 Kappa2,349000,75619,Petrol,Chennai,2014
571,Skoda Kodiaq L&K 2.0 TDI,3260000,61213,Diesel,Hyderabad,2019
572,Renault Kwid RXT [2015-2019],446000,36904,Petrol,Pune,2021
573,Maruti Suzuki Swift VXi [2014-2017],542000,16304,Petrol,Kolkata,2018
574,Skoda Octavia Elegance 1.8 TSI,945000,43000,Petrol,Mumbai,2015
575,Tata Nexon XZA Plus (S),1225000,20763,Petrol,Faridabad,2021
576,Maruti Suzuki Eeco 5 STR,475000,38500,CNG,Thane,2016
577,Mahindra Thar CRDe 4x4 Non,730000,41535,Diesel,Hyderabad,2017
578,Maruti Suzuki Baleno Alpha 1.2,731000,24645,Petrol,Thane,2019
579,BMW X5 xDrive 30d M,5300000,48213,Diesel,Mumbai,2018
580,BMW X5 xDrive30d xLine,4250000,80000,Diesel,Thane,2017
581,Audi Q3 2.0 TDI quattro,1513000,79000,Diesel,Ahmedabad,2015
582,Maruti Suzuki Ciaz Alpha Hybrid,1155000,32031,Petrol,Mumbai,2021
583,Hyundai i10 Sportz 1.2 AT,295000,65002,Petrol,Thane,2013
584,Mahindra XUV300 W8 1.5 Diesel,1574000,39300,Diesel,Pune,2021
585,Renault Kwid 1.0 RXT AMT,495000,25332,Petrol,Bangalore,2016
586,Maruti Suzuki Alto 800 Lxi,298000,24456,Petrol,Pune,2016
587,Hyundai Grand i10 Asta 1.2,521000,32491,Petrol,Chennai,2017
588,Hyundai Elite i20 Sportz 1.2,645000,12593,Petrol,Mumbai,2018
589,Hyundai Santro Sportz [2018-2020],550000,34267,Petrol,Pune,2019
590,Maruti Suzuki Celerio ZXi AMT,482000,29855,Petrol,Delhi,2016
591,Hyundai i20 Active 1.2 S,550000,15367,Petrol,Thane,2015
592,Hyundai Venue S 1.0 Petrol,895000,14667,Petrol,Kolkata,2019
593,Hyundai Verna 1.6 VTVT S,549000,41990,Petrol,Kolkata,2016
594,Hyundai Creta 1.6 SX,1425000,59000,Diesel,Hyderabad,2018
595,Hyundai Xcent S 1.1 CRDi,350000,48000,Diesel,Kolkata,2015
596,Maruti Suzuki Celerio ZXi AMT,560000,17542,Petrol,Bangalore,2018
597,Skoda Rapid Ambition 1.6 MPI,899000,57702,Petrol,Bangalore,2018
598,Honda City 1.5 S AT,620000,42408,Petrol,Hyderabad,2013
599,Renault Triber RXZ EASY-R AMT,750000,19784,Petrol,Mumbai,2020
600,Honda City VX CVT,599000,51000,Petrol,Kolkata,2016
601,Renault Duster 85 PS Base,862000,75795,Diesel,Bangalore,2018
602,Toyota Innova Crysta ZX 2.4,3250000,22562,Diesel,Hyderabad,2021
603,Maruti Suzuki Baleno Alpha Automatic,895000,21367,Petrol,Bangalore,2018
604,Mercedes-Benz C-Class 200 K AT,463000,76000,Petrol,Ahmedabad,2006
605,Mercedes-Benz C-Class C 220 CDI,2650000,30000,Diesel,Bangalore,2015
606,Hyundai Grand i10 Asta AT,535000,41017,Petrol,Mumbai,2015
607,Hyundai Grand i10 Asta AT,524000,58184,Petrol,Pune,2016
608,Maruti Suzuki Ciaz Zeta 1.4,900000,31573,Petrol,Hyderabad,2018
609,Tata Nexon EV XZ Plus,1500000,4100,Electric,Mumbai,2022
610,Mahindra Quanto C8,300000,100000,Diesel,Thiruvallur,2012
611,Tata Tigor Buzz Petrol,490000,33100,Petrol,Ahmedabad,2018
612,Maruti Suzuki Dzire VXi,665000,19000,Petrol,Thane,2018
613,Honda City V,991000,9300,Petrol,Ahmedabad,2022
614,Hyundai Grand i10 Nios Sportz,733000,18631,Petrol,Pune,2019
615,Hyundai Tucson 2WD MT Diesel,761000,12030,Diesel,Delhi,2021
616,Hyundai Elite i20 Asta 1.2,779000,9889,Petrol,Bangalore,2016
617,Skoda Octavia 1.8 TSI Style,1950000,41000,Petrol,Chennai,2019
618,Hyundai Verna SX Plus 1.6,1025000,69599,Diesel,Ahmedabad,2017
619,Hyundai Grand i10 Sports Edition,376000,56322,Petrol,Delhi,2014
620,Hyundai Santro Xing GL Plus,265000,24587,Petrol,Delhi,2013
621,Hyundai Creta SX Plus 1.6,975000,43398,Petrol,Thane,2017
622,BMW 3 Series 320d Highline,900000,40000,Diesel,Kolkata,2011
623,Maruti Suzuki Wagon R 1.0,687000,18512,Petrol,Pune,2021
624,Maruti Suzuki Alto 800 VXi,369000,13046,Petrol,Kolkata,2020
625,Hyundai i10 1.1L iRDE Magna,390000,73700,Petrol,Ahmedabad,2014
626,Honda WR-V VX MT Petrol,890000,6000,Petrol,Thane,2019
627,Tata Harrier XTA Plus Dark,2500000,6861,Diesel,Hyderabad,2022
628,Hyundai Elite i20 Magna 1.2,465000,53776,Petrol,Thane,2015
629,Skoda Rapid Style 1.5 TDI,654000,61681,Diesel,Kolkata,2017
630,Renault Kwid RXL,351000,13045,Petrol,Delhi,2019
631,Maruti Suzuki Swift DZire ZDI,526000,98251,Diesel,Pune,2012
632,Renault Kwid CLIMBER 1.0 [2017-2019],380000,52778,Petrol,Hyderabad,2018
633,Hyundai Creta SX Plus 1.6,911000,45000,Petrol,Mumbai,2016
634,Nissan Terrano XL (D),625000,72000,Diesel,Ahmedabad,2015
635,MG Hector Sharp 1.5 Petrol,1975000,20999,Petrol,Bangalore,2021
636,Maruti Suzuki Ritz VXI BS-IV,315000,42000,Petrol,Thane,2012
637,Maruti Suzuki Vitara Brezza VXi,859000,72255,Petrol,Chennai,2020
638,Hyundai Creta 1.6 S Petrol,1003000,48529,Petrol,Pune,2017
639,Honda Jazz S Petrol,673000,55056,Petrol,Bangalore,2017
640,Land Rover Range Rover Velar,7899000,31059,Petrol,Kolkata,2020
641,Renault Duster 110 PS RxZ,570000,56816,Diesel,Thane,2014
642,Maruti Suzuki Ertiga ZXi AT,1190000,12587,Petrol,Ahmedabad,2021
643,Toyota Innova Crysta 2.8 GX,1850000,56967,Diesel,Hyderabad,2017
644,Renault Kwid Neotech RXL,549000,5485,Petrol,Pune,2021
645,Renault Captur Platine Mono Diesel,675000,51720,Diesel,Kolkata,2019
646,Hyundai Santro Sportz AMT [2018-2020],518000,29944,Petrol,Pune,2018
647,Hyundai Verna 1.6 VTVT SX,750000,16339,Petrol,Kolkata,2018
648,Maruti Suzuki Vitara Brezza ZDi,985000,93500,Diesel,Hyderabad,2018
649,Tata Nexon XMA Diesel,941000,20678,Diesel,Thane,2019
650,Honda City S Petrol,695000,31605,Petrol,Thane,2017
651,Hyundai Verna SX (O) 1.5,1383000,14512,Diesel,Hyderabad,2021
652,Maruti Suzuki Alto 800 Lxi,319000,24993,Petrol,Delhi,2018
653,Maruti Suzuki Wagon R 1.0,490000,53830,Petrol,Ahmedabad,2018
654,Mahindra XUV300 1.5 W8 (O),1150000,72000,Diesel,Hyderabad,2018
655,Toyota Innova Crysta 2.8 ZX,2250000,52907,Diesel,Chennai,2017
656,Ford Figo Titanium 1.5 Ti-VCT,550000,49223,Petrol,Hyderabad,2016
657,Toyota Corolla Altis G Petrol,885000,125000,Petrol,Delhi,2018
658,Tata Tiago Revotron XZ Plus,639000,32210,Petrol,Bangalore,2018
659,Honda WR-V VX MT Petrol,820000,27963,Petrol,Delhi,2018
660,Volkswagen Tiguan Highline TDI,2400000,74000,Diesel,Hyderabad,2017
661,Audi Q7 45 TDI Technology,6150000,40000,Diesel,Ahmedabad,2017
662,Mahindra XUV500 W8,750000,147421,Diesel,Bangalore,2012
663,BMW X1 sDrive20d xLine,3250000,36114,Diesel,Mumbai,2019
664,Toyota Camry Hybrid,2143000,82000,Petrol,Delhi,2017
665,Honda Amaze 1.2 SX i-VTEC,460000,65000,Petrol,Ambattur,2014
666,Mercedes-Benz C-Class 250 CDI Avantagarde,950000,99941,Diesel,Ahmedabad,2012
667,Ford EcoSport Titanium 1.5 TDCi,485000,74000,Diesel,Thane,2013
668,Maruti Suzuki Swift VXi,370000,76256,Petrol,Kolkata,2015
669,Fiat Punto Evo Dynamic 1.2,400000,36500,Petrol,Ambattur,2016
670,Maruti Suzuki Ignis Alpha 1.2,525000,41240,Petrol,Mumbai,2017
671,Jeep Compass Limited 1.4 Petrol,1692000,23409,Petrol,Pune,2019
672,Mercedes-Benz E-Class E 220d Exclusive,7400000,11000,Diesel,Delhi,2022
673,Mercedes-Benz C-Class 250 CDI Avantagarde,1395000,55910,Diesel,Bangalore,2013
674,Hyundai Grand i10 Sports Edition,479000,38345,Petrol,Pune,2016
675,Audi A6 Technology 45 TFSI,4800000,23931,Petrol,Ahmedabad,2020
676,Mahindra XUV500 W7 [2018-2020],1350000,73342,Diesel,Mumbai,2020
677,Honda Amaze 1.2 V CVT,851000,17500,Petrol,Ahmedabad,2021
678,Kia Seltos GTX Plus 1.4,1491000,23113,Petrol,Bangalore,2019
679,Mercedes-Benz GLE 250 d,4275000,47045,Diesel,Thane,2016
680,Hyundai Grand i10 Magna 1.2,415000,32064,Petrol,Pune,2014
681,Maruti Suzuki Dzire ZXi Plus,637000,76203,Petrol,Chennai,2017
682,Hyundai Grand i10 Sports Edition,477000,27448,Petrol,Kolkata,2019
683,Jeep Compass Limited (O) 1.4,2250000,5030,Petrol,Kolkata,2021
684,Hyundai Santro Magna [2018-2020],510000,30858,Petrol,Hyderabad,2019
685,Maruti Suzuki Swift Dzire VXI,550000,48000,Petrol,Thane,2016
686,Hyundai i10 Sportz 1.2 AT,320000,36500,Petrol,Ahmedabad,2011
687,Maruti Suzuki Celerio VXi CNG,524000,34039,CNG,Pune,2018
688,Hyundai Elite i20 Magna Executive,536000,24062,Petrol,Kolkata,2018
689,Mercedes-Benz C-Class C 220 CDI,3000000,64148,Diesel,Hyderabad,2015
690,MG Hector Sharp 2.0 Diesel,1611000,46301,Diesel,Mumbai,2019
691,Mahindra Thar LX Hard Top,1699000,3590,Petrol,Bangalore,2022
692,Toyota Fortuner 3.0 4x2 AT,1990000,134361,Diesel,Hyderabad,2014
