,car_name,price,kms_driven,fuel_type,city,year_of_manufacture
78,Hyundai Venue S 1.0 Petrol,897000,15763,Petrol,Kolkata,2019
79,Mercedes-Benz C-Class 200 K AT,850000,119500,Petrol,Ahmedabad,2010
80,Maruti Suzuki Wagon R 1.0,276000,42697,Petrol,Kolkata,2013
81,Hyundai Elite i20 Magna Executive,690000,45000,Petrol,Ahmedabad,2018
82,Maruti Suzuki Vitara Brezza ZDi,1044000,55174,Diesel,Pune,2019
83,Honda City VX CVT,735000,82953,Petrol,Chennai,2016
84,Maruti Suzuki Wagon R 1.0,390000,85138,Petrol,Pune,2016
85,Audi Q5 3.0 TDI quattro,2500000,57000,Diesel,Hyderabad,2015
86,Audi A6 2.0 TDI Premium,1125000,52000,Diesel,Kolkata,2013
87,Hyundai Creta SX Plus 1.6,979000,27623,Petrol,Bangalore,2016
88,Hyundai Xcent SX 1.2 (O),499000,73333,Petrol,Bangalore,2015
89,MG Hector Sharp 2.0 Diesel,1659000,45999,Diesel,Bangalore,2019
90,Maruti Suzuki Baleno Sigma 1.2,545000,61518,Petrol,Noida,2017
91,Maruti Suzuki S-Presso VXi Plus,476000,65,Petrol,Delhi,2021
92,Maruti Suzuki Baleno Zeta 1.3,739000,42400,Diesel,Bangalore,2017
93,Jeep Compass Limited 1.4 Petrol,1395000,45221,Petrol,Mumbai,2017
94,Maruti Suzuki Ignis Zeta 1.2,628000,11290,Petrol,Pune,2020
95,Hyundai Grand i10 Sports Edition,409000,68446,Petrol,Delhi,2016
96,Honda City V,590000,51850,Petrol,Mumbai,2015
97,Toyota Glanza G CVT,795000,10000,Petrol,Mumbai,2020
98,Audi Q3 2.0 TDI quattro,1190000,69500,Diesel,Ahmedabad,2012
99,Maruti Suzuki Swift DZire ZXI,445000,44681,Petrol,Hyderabad,2012
100,Renault Kwid RXT [2015-2019],299000,65428,Petrol,Pune,2016
101,Hyundai Verna Fluidic 1.6 VTVT,391000,84344,Petrol,Delhi,2013
102,Maruti Suzuki Vitara Brezza ZDi,890000,113600,Diesel,Thane,2018
103,Maruti Suzuki Wagon R LXi,599000,17778,CNG,Delhi,2020
104,Maruti Suzuki Baleno Delta 1.2,580000,33269,Petrol,Kolkata,2018
105,MG Hector Sharp 1.5 DCT,1925000,15222,Petrol,Bangalore,2021
106,Honda City V Diesel,925000,87139,Diesel,Hyderabad,2017
107,Maruti Suzuki Swift VXi ABS,340000,69551,Petrol,Delhi,2013
108,Hyundai Verna Fluidic 1.6 CRDi,485000,72500,Diesel,Thane,2013
109,Maruti Suzuki Swift ZXi,633000,28899,Petrol,Delhi,2018
110,Maruti Suzuki Wagon R 1.0,396000,13595,Petrol,Kolkata,2017
111,Ford Endeavour Titanium 3.2 4x4,2475000,83000,Diesel,Mumbai,2016
112,Hyundai Elite i20 Magna Executive,775000,19418,Petrol,Bangalore,2019
113,Volvo V40 D3 Kinetic,1200000,50965,Diesel,Kolkata,2015
114,Ford EcoSport Ambiente 1.5L TDCi,491000,74000,Diesel,Thane,2014
115,Hyundai Xcent SX CRDi,425000,21707,Diesel,Kolkata,2017
116,Mahindra XUV500 W8,740000,83555,Diesel,Hyderabad,2013
117,Hyundai Verna 1.6 VTVT SX,585000,37000,Petrol,Mumbai,2015
118,Hyundai Grand i10 Magna 1.2,385000,43000,Petrol,Noida,2014
119,Maruti Suzuki Baleno Zeta 1.2,690000,21769,Petrol,Mumbai,2017
120,BMW 5 Series 530i Sport,4250000,32000,Petrol,Mumbai,2018
121,Maruti Suzuki Ciaz Zeta Hybrid,799000,14886,Petrol,Mumbai,2018
122,MG Hector Plus Sharp 1.5,1890000,6602,Petrol,Ahmedabad,2020
123,Maruti Suzuki Wagon R 1.0,385000,58000,CNG,Thane,2014
124,Maruti Suzuki Wagon R 1.0,407000,63339,CNG,Pune,2014
125,Maruti Suzuki Ciaz Delta 1.5,830000,4500,Petrol,Faridabad,2020
126,Renault Triber RXZ EASY-R AMT,760000,23600,Petrol,Chennai,2020
127,Hyundai Venue S 1.0 Petrol,955000,17844,Petrol,Kolkata,2019
128,Honda City SV,875000,21000,Petrol,Ahmedabad,2019
129,Tata Indica LS,250000,60000,Diesel,Thiruvallur,2017
130,Maruti Suzuki Celerio VXi AMT,450000,34530,Petrol,Thane,2016
131,Honda CR-V 2.4 AT,1400000,117192,Petrol,Hyderabad,2014
132,Honda Jazz VX Diesel,595000,54000,Diesel,Thane,2016
133,Nissan Terrano XL (P),679000,38999,Petrol,Bangalore,2016
134,Volkswagen Ameo Highline Plus 1.5L,660000,58549,Diesel,Chennai,2017
135,Hyundai Elite i20 Sportz 1.2,687000,41055,Petrol,Delhi,2019
136,Renault Kwid 1.0 RXT [2016-2019],304000,53728,Petrol,Delhi,2018
137,Hyundai Grand i10 Sportz (O),529000,42141,Petrol,Bangalore,2017
138,Tata Tiago JTP 1.2 [2018-2019],416000,63130,Petrol,Delhi,2018
139,Maruti Suzuki Alto K10 VXi,301000,53912,Petrol,Chennai,2016
140,Tata Nexon XMA Diesel,941000,20678,Diesel,Thane,2019
141,Tata Safari XTA Plus,2375000,4259,Diesel,Bangalore,2022
142,Honda Jazz E MT [2015-2016],490000,48866,Petrol,Ahmedabad,2016
143,Renault Kwid RXT [2015-2019],331000,32954,Petrol,Delhi,2018
144,Maruti Suzuki Wagon R 1.0,235000,37000,Petrol,Mumbai,2012
145,Mahindra XUV500 W11 AT,1390000,85000,Diesel,Ahmedabad,2018
146,Audi A3 35 TDI Premium,2475000,36627,Diesel,Bangalore,2016
147,Volkswagen Polo GT TSI,925000,62690,Petrol,Bangalore,2018
148,Toyota Innova Crysta GX 2.4,2150000,12039,Diesel,Ahmedabad,2020
149,Honda City VX CVT Petrol,1204000,26230,Petrol,Delhi,2020
150,Hyundai Santro Sportz AMT,557000,19156,Petrol,Pune,2020
151,Hyundai Grand i10 Nios Sportz,579000,18350,Petrol,Kolkata,2020
152,Hyundai Elite i20 Magna Executive,554000,44053,Petrol,Pune,2018
153,Hyundai i10 1.1L iRDE Magna,340000,69000,Petrol,Ahmedabad,2014
154,Kia Seltos GTX 1.4 Dual,1620000,51605,Petrol,Pune,2019
155,BMW 5 Series 520d Sedan,4300000,40000,Diesel,Ahmedabad,2017
156,Tata Harrier XZ Plus Dual,1895000,35438,Diesel,Thane,2020
157,BMW 7 Series 750Li Sedan,1000000,65000,Petrol,Ahmedabad,2008
158,Maruti Suzuki Ciaz Alpha 1.4,885000,38500,Petrol,Ahmedabad,2020
159,Maruti Suzuki Wagon R 1.0,484000,20583,CNG,Pune,2018
160,Skoda Rapid Style 1.5 TDI,715000,81325,Diesel,Kolkata,2016
161,Maruti Suzuki Baleno Zeta 1.2,590000,35000,Petrol,Ahmedabad,2017
162,Maruti Suzuki Celerio VXi AMT,485000,25000,Petrol,Hyderabad,2015
163,Honda Jazz V Petrol,462000,37993,Petrol,Delhi,2015
164,Land Rover Discovery Sport HSE,3499000,21693,Diesel,Kolkata,2018
165,Hyundai Creta SX 1.6 (O),1025000,63194,Petrol,Thane,2018
166,Hyundai i10 1.2 L Kappa,180000,60000,Petrol,Thane,2009
167,Honda City VX CVT Petrol,1200000,70000,Petrol,Ambattur,2018
168,Tata Hexa XTA 4x2 6,1600000,51000,Diesel,Ambattur,2018
169,Hyundai Elite i20 Asta 1.2,830000,22024,Petrol,Thane,2019
170,Skoda Octavia 2.0 TDI L&K,2095000,35793,Diesel,Hyderabad,2017
171,Hyundai Tucson GLS 4WD AT,1925000,75400,Diesel,Pune,2017
172,Maruti Suzuki Swift Dzire LDI,475000,84996,Diesel,Hyderabad,2016
173,Maruti Suzuki Swift VXi,460000,74767,Petrol,Mumbai,2015
174,Honda Amaze 1.2 EX i-VTEC,342000,63956,Petrol,Gurgaon,2013
175,Maruti Suzuki Wagon R 1.0,450000,48000,CNG,Thane,2017
176,Renault Duster 85 PS RxL,685000,48330,Diesel,Bangalore,2014
177,Maruti Suzuki Alto 800 Vxi,210000,93150,Petrol,Kolkata,2014
178,BMW X3 xDrive 30d M,4100000,69499,Diesel,Hyderabad,2016
179,Mahindra TUV300 T8 AMT mHAWK100,545000,75000,Diesel,Noida,2016
180,Kia Carnival Prestige 7 STR,3499000,13748,Diesel,Bangalore,2021
181,Maruti Suzuki Ciaz Alpha Hybrid,1075000,30672,Petrol,Bangalore,2019
182,Jeep Compass Limited Plus Diesel,1799000,64683,Diesel,Bangalore,2019
183,Maruti Suzuki Baleno Alpha 1.2,711000,69886,Petrol,Mumbai,2019
184,Audi Q5 2.0 TDI quattro,2150000,34000,Diesel,Kolkata,2014
185,Hyundai Creta SX 1.6 Petrol,1149000,62137,Petrol,Bangalore,2019
186,Maruti Suzuki Baleno Alpha 1.2,524000,56800,Petrol,Delhi,2016
187,Hyundai Xcent S 1.2,475000,42382,Petrol,Thane,2015
188,Maruti Suzuki Wagon R 1.0,390000,66794,Petrol,Kolkata,2018
189,Honda City V CVT Petrol,1150000,19600,Petrol,Ahmedabad,2020
190,Mercedes-Benz S-Class 350 CDI L,1900000,85489,Diesel,Hyderabad,2011
191,Renault Triber RXZ EASY-R AMT,750000,19784,Petrol,Mumbai,2020
192,Honda City ZX CVT Petrol,1285000,19238,Petrol,Mumbai,2020
